Threshold of rejection,Value of the summary statistics
7.64,10.19
7.63,9.21
7.64,11.09
7.64,11.08
7.64,11.06
7.63,11.22
7.62,9.45
7.63,8.67
7.62,10.22
7.64,12.48
7.63,10.81
7.64,9.25
7.63,10.08
7.64,9.90
7.63,10.74
7.64,11.96
7.62,10.85
7.64,8.55
7.64,12.13
7.64,9.44
7.64,10.51
7.63,9.83
7.63,10.38
7.63,10.42
7.62,11.11
7.64,9.86
7.63,9.68
7.63,10.05
7.64,11.14
7.62,10.09
7.62,10.61
7.63,10.42
7.63,10.37
7.63,10.39
7.63,10.29
7.64,9.85
7.63,11.78
7.63,10.22
7.63,8.95
7.65,10.91
7.64,9.96
7.63,8.69
7.63,11.47
7.64,10.88
7.62,11.52
7.64,9.52
7.64,9.99
7.62,9.87
7.64,10.15
7.63,10.53
7.64,10.27
7.64,13.61
7.64,11.36
7.64,10.46
7.63,9.90
7.64,12.05
7.63,12.46
7.63,12.49
7.64,11.86
7.65,12.47
7.62,10.62
7.64,10.02
7.63,10.21
7.63,10.05
7.64,10.50
7.63,9.71
7.62,11.02
7.62,10.16
7.64,9.56
7.65,11.25
7.63,10.18
7.64,11.71
7.64,9.68
7.64,8.77
7.62,9.69
7.64,9.14
7.63,8.19
7.63,11.47
7.63,10.14
7.64,11.69
7.63,10.44
7.64,11.47
7.64,10.72
7.64,10.87
7.62,10.19
7.64,9.94
7.65,10.52
7.63,9.12
7.63,11.10
7.64,8.53
7.64,9.37
7.64,11.46
7.63,9.39
7.64,9.83
7.64,9.84
7.64,11.49
7.63,11.43
7.64,9.44
7.64,9.88
7.63,10.13
7.62,9.79
7.64,11.64
7.63,11.65
7.63,10.26
7.63,9.21
7.62,9.52
7.63,10.41
7.64,10.20
7.63,9.61
7.64,9.97
7.65,11.14
7.63,9.10
7.64,9.00
7.64,10.21
7.62,10.60
7.63,10.10
7.64,9.18
7.64,11.58
7.64,9.50
7.63,9.53
7.63,11.67
7.62,10.61
7.63,11.07
7.63,9.58
7.63,9.51
7.63,11.22
7.64,8.99
7.63,9.70
7.64,10.16
7.64,10.05
7.65,10.91
7.63,11.03
7.64,12.09
7.65,11.19
7.64,10.50
7.64,9.18
7.63,10.96
7.63,10.52
7.63,10.18
7.64,9.83
7.63,9.55
7.64,11.05
7.63,11.14
7.63,9.74
7.65,10.94
7.64,9.59
7.62,10.77
7.64,10.66
7.63,8.47
7.65,11.10
7.64,9.85
7.65,10.39
7.64,8.89
7.64,12.58
7.62,10.71
7.65,8.90
7.63,9.92
7.63,10.61
7.64,11.85
7.65,11.34
7.64,9.02
7.64,9.81
7.63,12.12
7.63,10.74
7.62,10.38
7.64,10.43
7.63,8.84
7.63,8.88
7.63,8.59
7.63,8.62
7.63,9.74
7.64,10.01
7.63,11.51
7.62,13.69
7.63,9.23
7.63,9.85
7.63,10.56
7.63,10.32
7.64,11.44
7.64,10.48
7.64,9.70
7.63,9.74
7.64,8.79
7.63,11.04
7.63,10.10
7.63,10.80
7.63,9.66
7.63,9.46
7.62,9.94
7.63,11.06
7.63,10.33
7.64,9.39
7.63,9.34
7.62,9.39
7.64,10.46
7.63,8.23
7.63,10.02
7.64,9.34
7.63,9.30
7.64,11.18
7.63,9.86
7.64,9.74
7.64,9.20
7.62,9.90
7.63,10.85
7.63,9.40
7.64,9.65
7.64,10.54
7.64,10.78
7.64,10.95
7.62,10.91
7.64,9.37
7.63,9.66
7.64,9.80
7.64,8.71
7.62,9.71
7.64,9.36
7.64,10.05
7.64,11.99
7.64,10.31
7.64,9.92
7.63,10.15
7.63,12.58
7.64,11.29
7.64,10.21
7.64,9.51
7.63,8.79
7.63,10.05
7.63,9.77
7.63,9.19
7.64,11.61
7.63,9.62
7.64,9.21
7.64,8.92
7.63,9.51
7.63,8.03
7.62,11.01
7.63,8.91
7.63,9.59
7.63,11.45
7.64,10.15
7.64,10.68
7.64,9.38
7.63,9.08
7.64,11.20
7.63,8.93
7.64,9.56
7.63,9.95
7.62,11.19
7.64,10.85
7.64,9.72
7.62,11.09
7.63,9.17
7.64,9.74
7.64,8.57
7.64,10.59
7.63,10.75
7.63,9.73
7.65,9.96
7.63,10.84
7.63,9.89
7.64,10.71
7.64,8.76
7.64,8.95
7.64,9.84
7.63,9.65
7.63,11.95
7.62,9.82
7.64,9.30
7.62,9.02
7.63,8.98
7.63,10.08
7.64,10.83
7.63,9.17
7.63,10.03
7.64,9.94
7.64,10.31
7.63,8.49
7.63,9.80
7.63,10.05
7.63,9.62
7.63,10.55
7.62,7.73
7.64,11.63
7.64,10.72
7.63,9.32
7.64,9.18
7.62,9.59
7.63,10.54
7.63,9.31
7.65,11.29
7.63,12.35
7.63,10.74
7.63,14.18
7.63,10.75
7.62,9.88
7.62,9.58
7.63,9.31
7.63,9.54
7.64,10.23
7.63,9.73
7.63,10.30
7.63,11.20
