Threshold of rejection,Value of the summary statistics
7.62,9.20
7.63,8.68
7.63,10.66
7.63,8.76
7.62,11.28
7.63,8.05
7.64,8.64
7.64,8.87
7.63,9.82
7.63,10.08
7.64,8.93
7.64,10.33
7.63,11.63
7.63,9.40
7.65,10.12
7.64,11.09
7.63,11.68
7.63,11.20
7.63,10.49
7.63,8.62
7.63,10.04
7.63,9.19
7.62,11.85
7.64,8.97
7.62,11.43
7.63,9.23
7.64,9.47
7.64,9.78
7.63,12.14
7.64,10.49
7.63,9.61
7.63,10.35
7.63,10.09
7.63,9.78
7.64,10.06
7.63,10.22
7.63,10.38
7.64,11.64
7.64,9.60
7.63,9.14
7.64,10.05
7.64,9.29
7.62,9.19
7.63,11.27
7.64,9.46
7.62,10.82
7.62,10.35
7.63,12.79
7.64,12.54
7.63,10.48
7.64,12.65
7.62,11.79
7.64,9.47
7.63,10.70
7.63,9.46
7.64,10.47
7.62,9.17
7.63,9.07
7.63,8.26
7.64,10.98
7.63,9.21
7.63,10.23
7.64,10.84
7.64,9.57
7.64,9.28
7.63,8.93
7.64,11.02
7.64,9.01
7.64,11.02
7.64,9.66
7.63,10.43
7.63,11.29
7.64,9.68
7.62,10.62
7.63,9.89
7.64,10.10
7.64,9.76
7.64,9.77
7.62,10.39
7.64,12.34
7.63,9.41
7.64,10.69
7.63,9.92
7.65,10.05
7.62,10.85
7.64,10.83
7.63,10.48
7.64,10.84
7.64,9.96
7.64,9.19
7.63,8.85
7.63,10.46
7.63,9.35
7.64,8.91
7.64,9.15
7.63,10.16
7.64,10.21
7.64,9.83
7.63,8.74
7.64,10.68
7.63,10.00
7.63,9.84
7.63,9.83
7.62,11.32
7.63,11.28
7.63,9.50
7.63,10.35
7.64,11.16
7.62,10.60
7.63,10.93
7.64,8.69
7.63,9.71
7.63,10.15
7.63,9.68
7.63,9.78
7.62,8.96
7.64,10.57
7.63,10.35
7.63,9.44
7.63,10.10
7.64,11.21
7.63,11.96
7.64,8.80
7.64,11.09
7.63,9.73
7.64,10.39
7.63,8.90
7.63,11.39
7.63,8.79
7.65,11.90
7.65,12.67
7.62,10.97
7.63,10.56
7.64,10.31
7.63,11.75
7.64,9.69
7.63,11.46
7.63,9.14
7.63,10.92
7.64,10.78
7.64,10.19
7.65,10.85
7.63,9.99
7.63,9.58
7.64,9.72
7.63,11.08
7.65,10.40
7.63,9.43
7.64,9.33
7.64,9.82
7.63,11.49
7.63,9.51
7.65,10.64
7.64,10.61
7.64,9.59
7.63,10.46
7.64,10.86
7.63,9.44
7.63,10.18
7.62,9.88
7.64,9.28
7.63,9.39
7.63,8.92
7.63,8.89
7.63,8.77
7.63,9.77
7.63,8.54
7.64,9.75
7.63,10.55
7.65,11.37
7.63,10.53
7.62,12.78
7.63,10.90
7.64,8.82
7.63,11.75
7.62,10.17
7.63,11.76
7.63,8.71
7.64,12.10
7.63,8.72
7.64,10.10
7.63,12.31
7.63,8.04
7.63,10.32
7.63,10.55
7.65,10.72
7.62,11.58
7.63,11.05
7.64,9.43
7.63,10.54
7.63,9.35
7.63,9.55
7.63,9.00
7.63,10.24
7.64,12.53
7.64,10.28
7.63,9.08
7.64,8.35
7.63,11.03
7.64,11.15
7.65,9.70
7.63,9.04
7.63,10.65
7.64,10.28
7.63,10.51
7.64,11.34
7.63,9.93
7.63,10.06
7.64,10.05
7.63,9.59
7.63,8.82
7.63,10.81
7.64,10.37
7.64,10.58
7.64,9.82
7.62,10.24
7.63,10.04
7.62,10.12
7.64,9.49
7.62,9.44
7.64,9.73
7.64,10.83
7.64,14.46
7.63,9.08
7.62,9.90
7.63,10.56
7.63,10.45
7.64,10.10
7.64,9.61
7.64,9.24
7.64,9.38
7.64,8.63
7.64,10.29
7.63,8.54
7.62,9.62
7.64,9.58
7.64,11.58
7.65,11.33
7.63,9.18
7.64,9.11
7.64,8.63
7.64,9.77
7.64,9.89
7.62,9.32
7.64,9.19
7.64,9.78
7.64,10.09
7.64,10.51
7.63,10.30
7.64,9.33
7.63,10.64
7.63,11.10
7.64,11.51
7.63,9.31
7.63,9.94
7.65,10.90
7.63,10.11
7.64,10.30
7.65,9.57
7.65,8.76
7.64,9.12
7.62,10.12
7.64,8.81
7.63,8.97
7.64,9.36
7.64,9.28
7.63,10.27
7.64,10.81
7.64,11.57
7.64,10.39
7.64,9.39
7.63,11.34
7.64,9.14
7.63,11.62
7.63,11.25
7.64,10.49
7.64,10.93
7.64,9.56
7.62,9.29
7.63,10.29
7.63,10.87
7.63,9.34
7.63,9.98
7.64,8.51
7.63,10.63
7.64,10.64
7.64,9.82
7.62,10.71
7.64,10.38
7.63,10.31
7.62,9.70
7.64,9.37
7.63,10.12
7.63,10.90
7.65,9.79
7.63,9.94
7.64,9.34
7.63,9.68
7.63,9.42
7.64,11.63
7.64,9.43
