Threshold of rejection,Value of the summary statistics
11.12,8.73
11.12,8.31
11.11,10.31
11.12,8.47
11.11,11.08
11.12,8.07
11.12,8.87
11.11,9.07
11.11,9.91
11.12,9.91
11.12,9.34
11.12,10.38
11.10,11.37
11.12,9.25
11.11,10.09
11.12,11.02
11.11,11.68
11.12,10.84
11.11,10.35
11.12,8.72
11.13,10.31
11.12,8.65
11.11,11.45
11.12,8.83
11.11,10.96
11.12,9.28
11.12,9.88
11.11,9.71
11.12,12.09
11.11,10.53
11.11,9.52
11.12,10.49
11.12,10.39
11.12,9.99
11.12,9.73
11.11,10.46
11.12,9.99
11.10,11.34
11.12,10.09
11.12,8.90
11.12,10.08
11.11,9.08
11.12,9.16
11.10,10.79
11.12,9.19
11.13,10.86
11.12,10.42
11.09,12.17
11.12,12.50
11.11,9.84
11.11,11.76
11.11,11.57
11.11,8.98
11.11,10.25
11.12,9.42
11.11,10.27
11.12,9.64
11.12,8.81
11.12,8.41
11.12,10.88
11.12,9.47
11.11,10.03
11.11,10.66
11.10,9.46
11.11,9.08
11.12,9.27
11.12,11.25
11.11,9.18
11.12,11.16
11.11,9.55
11.11,10.18
11.10,11.29
11.12,9.99
11.11,10.63
11.11,10.03
11.12,9.78
11.11,9.07
11.11,9.58
11.11,10.47
11.12,11.99
11.11,9.42
11.13,10.31
11.11,10.13
11.11,10.06
11.12,10.70
11.10,10.33
11.12,10.28
11.11,10.55
11.11,9.50
11.11,8.93
11.11,8.79
11.12,10.59
11.11,9.59
11.12,9.01
11.11,8.88
11.11,10.03
11.12,10.31
11.11,9.73
11.12,8.67
11.11,10.42
11.12,9.59
11.12,9.63
11.10,9.62
11.11,11.19
11.11,11.40
11.12,9.58
11.11,9.88
11.12,11.00
11.11,10.75
11.12,10.66
11.11,8.60
11.11,10.24
11.12,10.08
11.12,10.33
